week,brand_sales,category_index,sibling_line,campaign
2021-09-06,1137068.22,103.3115,430431.82,0
2021-09-13,1158134.54,102.3475,436585.62,0
2021-09-20,1201202.22,107.7596,448418.42,0
2021-09-27,1266083.17,111.4638,475134.97,0
2021-10-04,1198510.73,107.3215,430651.99,0
2021-10-11,1190438.35,102.6698,429847.93,0
2021-10-18,1185526.25,106.1046,439493.51,0
2021-10-25,1189269.33,110.0803,426507.67,0
2021-11-01,1298217.14,109.4924,421240.06,0
2021-11-08,1213578.4,108.3432,444452.14,0
2021-11-15,1245276.41,110.9512,452691.51,0
2021-11-22,1350184.11,113.6486,449340.54,0
2021-11-29,1393732.64,112.1543,457277.34,0
2021-12-06,1328367.98,114.3885,489429.52,0
2021-12-13,1316758.1,113.0638,440796.51,0
2021-12-20,1277197.68,109.4553,421935.25,0
2021-12-27,1317628.05,108.0849,429550.06,0
2022-01-03,1205763.18,105.0638,450474.47,0
2022-01-10,1231696.86,108.1176,452338.78,0
2022-01-17,1242870.23,106.1471,452318.7,0
2022-01-24,1223789.85,103.6167,420191.12,0
2022-01-31,1170634.35,101.384,402554.71,0
2022-02-07,1212407.65,104.2491,435854.61,0
2022-02-14,1165344.3,104.1145,431061.03,0
2022-02-21,1162439.87,99.2967,430668.34,0
2022-02-28,1151953.96,98.8159,417172.45,0
2022-03-07,1183627.67,98.6551,426878.33,0
2022-03-14,1175457.67,99.3085,428595.59,0
2022-03-21,1202259.15,103.1338,439002.7,0
2022-03-28,1225287.73,103.8368,442908.27,0
2022-04-04,1269244.44,107.0832,427238.58,0
2022-04-11,1224944.41,101.8476,394268.77,0
2022-04-18,1175501.25,96.2349,421772.24,0
2022-04-25,1125529.58,94.4809,420680.99,0
2022-05-02,1115216.19,99.0568,397615.0,0
2022-05-09,1154220.59,99.7496,384520.16,0
2022-05-16,1122190.6,95.9416,396863.62,0
2022-05-23,1123096.29,92.5776,398535.05,0
2022-05-30,1085999.58,87.4415,401610.05,0
2022-06-06,1077460.48,89.5409,395702.7,0
2022-06-13,1060499.69,91.5496,386168.32,0
2022-06-20,1050747.37,92.2364,377468.83,0
2022-06-27,1068868.84,90.688,376527.63,0
2022-07-04,1071671.12,91.2542,377777.71,0
2022-07-11,1083535.54,92.2218,370579.2,0
2022-07-18,1050185.87,92.1653,412092.86,0
2022-07-25,1137325.18,96.8259,433274.22,0
2022-08-01,1159710.97,99.5345,432666.01,0
2022-08-08,1160242.14,100.053,413980.11,0
2022-08-15,1181689.56,100.6407,434398.35,0
2022-08-22,1230023.22,105.2817,444539.7,0
2022-08-29,1272516.6,107.5528,454915.64,0
2022-09-05,1226297.98,105.7863,452962.21,0
2022-09-12,1244003.69,105.2023,451721.5,0
2022-09-19,1250694.6,107.6599,454135.47,0
2022-09-26,1263943.84,106.7434,453130.46,0
2022-10-03,1320735.74,107.9948,453640.26,0
2022-10-10,1306521.88,116.8393,445694.39,0
2022-10-17,1316355.53,112.4869,456042.67,0
2022-10-24,1390530.41,115.3753,467113.96,0
2022-10-31,1330851.21,109.7616,433440.72,0
2022-11-07,1311910.71,110.6321,473470.97,0
2022-11-14,1282682.37,109.5817,491059.98,0
2022-11-21,1352887.88,113.7913,497375.5,0
2022-11-28,1428303.41,114.6344,486139.81,0
2022-12-05,1365706.43,117.9176,503063.74,0
2022-12-12,1374832.62,110.7625,473609.08,0
2022-12-19,1317626.78,108.6077,459746.83,0
2022-12-26,1338946.19,109.3477,445316.75,0
2023-01-02,1284606.44,107.9239,453444.4,0
2023-01-09,1232172.32,104.0913,432973.2,0
2023-01-16,1230324.53,100.1162,399235.76,0
2023-01-23,1195321.34,97.534,401758.35,0
2023-01-30,1252936.85,100.044,413759.98,0
2023-02-06,1257375.12,101.279,443875.17,0
2023-02-13,1265479.21,102.2947,448345.83,0
2023-02-20,1272777.37,102.268,428025.42,0
2023-02-27,1253369.03,103.1498,428854.01,0
2023-03-06,1277279.72,104.6858,432104.93,0
