household_key,decile,decile_action_tier,km_segment,km_action_tier
1,D3,Grow basket or category,0,Growth: upsell
2,D6,Low-cost nurture,3,Low-cost nurture
3,D5,Low-cost nurture,4,Behavioral tier 4
4,D7,Low-cost nurture,2,Behavioral tier 5
5,D8,Suppress expensive offers,4,Behavioral tier 4
6,D2,Grow basket or category,1,VIP retention
7,D4,Grow basket or category,3,Low-cost nurture
8,D2,Grow basket or category,1,VIP retention
9,D8,Suppress expensive offers,4,Behavioral tier 4
10,D10,Suppress expensive offers,2,Behavioral tier 5
11,D10,Suppress expensive offers,2,Behavioral tier 5
12,D10,Suppress expensive offers,2,Behavioral tier 5
13,D1,VIP: retain and reward,1,VIP retention
14,D5,Low-cost nurture,0,Growth: upsell
15,D8,Suppress expensive offers,4,Behavioral tier 4
16,D7,Low-cost nurture,3,Low-cost nurture
17,D2,Grow basket or category,1,VIP retention
18,D2,Grow basket or category,1,VIP retention
19,D1,VIP: retain and reward,1,VIP retention
20,D1,VIP: retain and reward,1,VIP retention
21,D8,Suppress expensive offers,3,Low-cost nurture
22,D2,Grow basket or category,1,VIP retention
23,D4,Grow basket or category,0,Growth: upsell
24,D6,Low-cost nurture,4,Behavioral tier 4
25,D4,Grow basket or category,3,Low-cost nurture
26,D6,Low-cost nurture,0,Growth: upsell
27,D2,Grow basket or category,0,Growth: upsell
28,D6,Low-cost nurture,0,Growth: upsell
29,D7,Low-cost nurture,4,Behavioral tier 4
30,D9,Suppress expensive offers,3,Low-cost nurture
31,D3,Grow basket or category,1,VIP retention
32,D4,Grow basket or category,1,VIP retention
33,D7,Low-cost nurture,3,Low-cost nurture
34,D9,Suppress expensive offers,4,Behavioral tier 4
35,D8,Suppress expensive offers,3,Low-cost nurture
36,D3,Grow basket or category,0,Growth: upsell
37,D4,Grow basket or category,3,Low-cost nurture
38,D9,Suppress expensive offers,2,Behavioral tier 5
39,D3,Grow basket or category,3,Low-cost nurture
40,D1,VIP: retain and reward,1,VIP retention
41,D4,Grow basket or category,0,Growth: upsell
42,D6,Low-cost nurture,0,Growth: upsell
43,D8,Suppress expensive offers,0,Growth: upsell
44,D8,Suppress expensive offers,4,Behavioral tier 4
45,D8,Suppress expensive offers,2,Behavioral tier 5
46,D1,VIP: retain and reward,1,VIP retention
47,D5,Low-cost nurture,0,Growth: upsell
48,D7,Low-cost nurture,3,Low-cost nurture
49,D2,Grow basket or category,1,VIP retention
50,D10,Suppress expensive offers,2,Behavioral tier 5
51,D4,Grow basket or category,0,Growth: upsell
52,D2,Grow basket or category,1,VIP retention
53,D6,Low-cost nurture,3,Low-cost nurture
54,D10,Suppress expensive offers,2,Behavioral tier 5
55,D8,Suppress expensive offers,0,Growth: upsell
56,D2,Grow basket or category,1,VIP retention
57,D4,Grow basket or category,1,VIP retention
58,D1,VIP: retain and reward,1,VIP retention
59,D6,Low-cost nurture,3,Low-cost nurture
60,D9,Suppress expensive offers,4,Behavioral tier 4
61,D10,Suppress expensive offers,4,Behavioral tier 4
62,D10,Suppress expensive offers,2,Behavioral tier 5
63,D9,Suppress expensive offers,4,Behavioral tier 4
64,D3,Grow basket or category,0,Growth: upsell
65,D6,Low-cost nurture,0,Growth: upsell
66,D9,Suppress expensive offers,2,Behavioral tier 5
67,D1,VIP: retain and reward,1,VIP retention
68,D3,Grow basket or category,0,Growth: upsell
69,D2,Grow basket or category,0,Growth: upsell
70,D10,Suppress expensive offers,2,Behavioral tier 5
71,D4,Grow basket or category,1,VIP retention
