week,sales,fiscal_year,fiscal_week,holiday_week,bau_promotion
2014-01-06,140728.0,2014,1,0,0
2014-01-13,132414.0,2014,2,0,0
2014-01-20,137798.0,2014,3,0,0
2014-01-27,135909.0,2014,4,0,0
2014-02-03,125718.0,2014,5,0,0
2014-02-10,135997.0,2014,6,0,0
2014-02-17,139557.0,2014,7,0,0
2014-02-24,137649.0,2014,8,0,0
2014-03-03,135138.0,2014,9,0,0
2014-03-10,144461.0,2014,10,0,0
2014-03-17,148269.0,2014,11,0,0
2014-03-24,163054.0,2014,12,0,0
2014-03-31,160563.0,2014,13,0,0
2014-04-07,160209.0,2014,14,0,0
2014-04-14,158491.0,2014,15,0,0
2014-04-21,164430.0,2014,16,0,0
2014-04-28,167099.0,2014,17,0,0
2014-05-05,173502.0,2014,18,0,0
2014-05-12,176733.0,2014,19,0,1
2014-05-19,179209.0,2014,20,0,1
2014-05-26,163718.0,2014,21,0,0
2014-06-02,171282.0,2014,22,0,0
2014-06-09,178445.0,2014,23,0,0
2014-06-16,169051.0,2014,24,0,0
2014-06-23,165553.0,2014,25,0,0
2014-06-30,166843.0,2014,26,0,0
2014-07-07,163981.0,2014,27,0,0
2014-07-14,169462.0,2014,28,0,0
2014-07-21,153054.0,2014,29,0,0
2014-07-28,152162.0,2014,30,0,0
2014-08-04,151295.0,2014,31,0,0
2014-08-11,143087.0,2014,32,0,0
2014-08-18,146095.0,2014,33,0,0
2014-08-25,148107.0,2014,34,0,0
2014-09-01,152986.0,2014,35,0,0
2014-09-08,162102.0,2014,36,0,0
2014-09-15,158861.0,2014,37,0,0
2014-09-22,167420.0,2014,38,0,1
2014-09-29,156690.0,2014,39,0,0
2014-10-06,164674.0,2014,40,0,0
2014-10-13,157906.0,2014,41,0,0
2014-10-20,154852.0,2014,42,0,0
2014-10-27,161379.0,2014,43,0,0
2014-11-03,160059.0,2014,44,0,0
2014-11-10,163936.0,2014,45,0,0
2014-11-17,161115.0,2014,46,0,0
2014-11-24,242733.0,2014,47,1,1
2014-12-01,214868.0,2014,48,1,1
2014-12-08,209485.0,2014,49,1,1
2014-12-15,198287.0,2014,50,1,1
2014-12-22,101149.0,2014,51,1,0
2014-12-29,120406.0,2014,52,1,0
2015-01-05,146590.0,2015,1,0,0
2015-01-12,146197.0,2015,2,0,0
2015-01-19,141485.0,2015,3,0,0
2015-01-26,143504.0,2015,4,0,0
2015-02-02,150499.0,2015,5,0,0
2015-02-09,136989.0,2015,6,0,0
2015-02-16,134991.0,2015,7,0,0
2015-02-23,137840.0,2015,8,0,0
2015-03-02,151741.0,2015,9,0,0
2015-03-09,154248.0,2015,10,0,0
2015-03-16,159844.0,2015,11,0,0
2015-03-23,154129.0,2015,12,0,0
2015-03-30,152375.0,2015,13,0,0
2015-04-06,161745.0,2015,14,0,0
2015-04-13,165373.0,2015,15,0,0
2015-04-20,170685.0,2015,16,0,0
2015-04-27,169953.0,2015,17,0,0
2015-05-04,172420.0,2015,18,0,0
2015-05-11,187494.0,2015,19,0,1
2015-05-18,189165.0,2015,20,0,1
2015-05-25,181081.0,2015,21,0,0
2015-06-01,168761.0,2015,22,0,0
2015-06-08,158163.0,2015,23,0,0
2015-06-15,171159.0,2015,24,0,0
2015-06-22,178012.0,2015,25,0,0
2015-06-29,168385.0,2015,26,0,0
2015-07-06,158485.0,2015,27,0,0
2015-07-13,162992.0,2015,28,0,0
2015-07-20,170538.0,2015,29,0,0
2015-07-27,178720.0,2015,30,0,0
2015-08-03,174798.0,2015,31,0,0
2015-08-10,167215.0,2015,32,0,0
2015-08-17,160625.0,2015,33,0,0
2015-08-24,162830.0,2015,34,0,0
2015-08-31,162227.0,2015,35,0,0
2015-09-07,158495.0,2015,36,0,0
2015-09-14,174286.0,2015,37,0,0
2015-09-21,193825.0,2015,38,0,1
2015-09-28,181806.0,2015,39,0,0
2015-10-05,168938.0,2015,40,0,0
2015-10-12,174033.0,2015,41,0,0
2015-10-19,174871.0,2015,42,0,0
2015-10-26,174621.0,2015,43,0,0
2015-11-02,178921.0,2015,44,0,0
2015-11-09,176708.0,2015,45,0,0
2015-11-16,179242.0,2015,46,0,0
2015-11-23,261443.0,2015,47,1,1
2015-11-30,218427.0,2015,48,1,1
2015-12-07,188586.0,2015,49,1,1
2015-12-14,223033.0,2015,50,1,1
2015-12-21,117084.0,2015,51,1,0
2015-12-28,135745.0,2015,52,1,0
2016-01-04,167621.0,2016,1,0,0
2016-01-11,172226.0,2016,2,0,0
2016-01-18,172327.0,2016,3,0,0
2016-01-25,165529.0,2016,4,0,0
2016-02-01,168028.0,2016,5,0,0
2016-02-08,161597.0,2016,6,0,0
2016-02-15,160138.0,2016,7,0,0
2016-02-22,153423.0,2016,8,0,0
2016-02-29,158985.0,2016,9,0,0
2016-03-07,162200.0,2016,10,0,0
2016-03-14,157732.0,2016,11,0,0
2016-03-21,162912.0,2016,12,0,0
2016-03-28,167192.0,2016,13,0,0
2016-04-04,181660.0,2016,14,0,0
2016-04-11,184938.0,2016,15,0,0
2016-04-18,182442.0,2016,16,0,0
2016-04-25,183965.0,2016,17,0,0
2016-05-02,183879.0,2016,18,0,0
2016-05-09,204204.0,2016,19,0,1
2016-05-16,190593.0,2016,20,0,1
2016-05-23,180374.0,2016,21,0,0
2016-05-30,179538.0,2016,22,0,0
2016-06-06,143471.0,2016,23,0,0
2016-06-13,163292.0,2016,24,0,0
2016-06-20,187063.0,2016,25,0,0
2016-06-27,174833.0,2016,26,0,0
2016-07-04,178110.0,2016,27,0,0
2016-07-11,186106.0,2016,28,0,0
2016-07-18,189763.0,2016,29,0,0
2016-07-25,191484.0,2016,30,0,0
2016-08-01,185156.0,2016,31,0,0
2016-08-08,177143.0,2016,32,0,0
2016-08-15,172266.0,2016,33,0,0
2016-08-22,178364.0,2016,34,0,0
2016-08-29,181680.0,2016,35,0,0
2016-09-05,189761.0,2016,36,0,0
2016-09-12,192750.0,2016,37,0,0
2016-09-19,209465.0,2016,38,0,1
2016-09-26,176776.0,2016,39,0,0
2016-10-03,177774.0,2016,40,0,0
2016-10-10,180678.0,2016,41,0,0
2016-10-17,179277.0,2016,42,0,0
2016-10-24,177260.0,2016,43,0,0
2016-10-31,181087.0,2016,44,0,0
2016-11-07,177268.0,2016,45,0,0
2016-11-14,170622.0,2016,46,0,0
2016-11-21,256339.0,2016,47,1,1
2016-11-28,244920.0,2016,48,1,1
2016-12-05,219650.0,2016,49,1,1
2016-12-12,256597.0,2016,50,1,1
2016-12-19,121177.0,2016,51,1,0
2016-12-26,143586.0,2016,52,1,0
2017-01-02,176846.0,2017,1,0,0
2017-01-09,163986.0,2017,2,0,0
2017-01-16,152772.0,2017,3,0,0
2017-01-23,148673.0,2017,4,0,0
2017-01-30,157014.0,2017,5,0,0
2017-02-06,161800.0,2017,6,0,0
2017-02-13,164353.0,2017,7,0,0
2017-02-20,173733.0,2017,8,0,0
2017-02-27,158126.0,2017,9,0,0
2017-03-06,169290.0,2017,10,0,0
2017-03-13,182725.0,2017,11,0,0
2017-03-20,174479.0,2017,12,0,0
2017-03-27,177283.0,2017,13,0,0
2017-04-03,177398.0,2017,14,0,0
2017-04-10,178708.0,2017,15,0,0
2017-04-17,183426.0,2017,16,0,0
2017-04-24,199329.0,2017,17,0,0
2017-05-01,211231.0,2017,18,0,0
2017-05-08,224171.0,2017,19,0,1
2017-05-15,242253.0,2017,20,0,1
2017-05-22,208000.0,2017,21,0,0
2017-05-29,215987.0,2017,22,0,0
2017-06-05,206388.0,2017,23,0,0
2017-06-12,203236.0,2017,24,0,0
2017-06-19,201628.0,2017,25,0,0
2017-06-26,221239.0,2017,26,0,0
2017-07-03,212892.0,2017,27,0,0
2017-07-10,198314.0,2017,28,0,0
2017-07-17,200316.0,2017,29,0,0
