geo,week,incremental_spend,incremental_revenue,true_incremental_revenue_total,true_roas
Geo 02,2024-02-05,-3565.42,-713.08,-84381.25,0.19999991467302355
Geo 02,2024-02-12,-3395.32,-679.06,-84381.25,0.19999991467302355
Geo 02,2024-02-19,-3436.49,-687.3,-84381.25,0.19999991467302355
Geo 02,2024-02-26,-3288.11,-657.62,-84381.25,0.19999991467302355
Geo 02,2024-03-04,-3407.35,-681.47,-84381.25,0.19999991467302355
Geo 02,2024-03-11,-3514.4,-702.88,-84381.25,0.19999991467302355
Geo 02,2024-03-18,-3524.38,-704.88,-84381.25,0.19999991467302355
Geo 02,2024-03-25,-3570.45,-714.09,-84381.25,0.19999991467302355
Geo 04,2024-02-05,-3995.74,-799.15,-84381.25,0.19999991467302355
Geo 04,2024-02-12,-4418.88,-883.78,-84381.25,0.19999991467302355
Geo 04,2024-02-19,-4216.36,-843.27,-84381.25,0.19999991467302355
Geo 04,2024-02-26,-4164.11,-832.82,-84381.25,0.19999991467302355
Geo 04,2024-03-04,-4266.0,-853.2,-84381.25,0.19999991467302355
Geo 04,2024-03-11,-4162.59,-832.52,-84381.25,0.19999991467302355
Geo 04,2024-03-18,-4414.51,-882.9,-84381.25,0.19999991467302355
Geo 04,2024-03-25,-4171.75,-834.35,-84381.25,0.19999991467302355
Geo 06,2024-02-05,-4968.75,-993.75,-84381.25,0.19999991467302355
Geo 06,2024-02-12,-4791.36,-958.27,-84381.25,0.19999991467302355
Geo 06,2024-02-19,-4841.04,-968.21,-84381.25,0.19999991467302355
Geo 06,2024-02-26,-4839.67,-967.93,-84381.25,0.19999991467302355
Geo 06,2024-03-04,-4932.07,-986.41,-84381.25,0.19999991467302355
Geo 06,2024-03-11,-4874.39,-974.88,-84381.25,0.19999991467302355
Geo 06,2024-03-18,-4879.52,-975.9,-84381.25,0.19999991467302355
Geo 06,2024-03-25,-4866.52,-973.3,-84381.25,0.19999991467302355
Geo 08,2024-02-05,-5671.37,-1134.27,-84381.25,0.19999991467302355
Geo 08,2024-02-12,-5708.02,-1141.6,-84381.25,0.19999991467302355
Geo 08,2024-02-19,-5569.29,-1113.86,-84381.25,0.19999991467302355
Geo 08,2024-02-26,-5622.22,-1124.44,-84381.25,0.19999991467302355
Geo 08,2024-03-04,-5405.37,-1081.07,-84381.25,0.19999991467302355
Geo 08,2024-03-11,-5720.14,-1144.03,-84381.25,0.19999991467302355
Geo 08,2024-03-18,-5682.34,-1136.47,-84381.25,0.19999991467302355
Geo 08,2024-03-25,-5864.06,-1172.81,-84381.25,0.19999991467302355
Geo 09,2024-02-05,-6515.14,-1303.03,-84381.25,0.19999991467302355
Geo 09,2024-02-12,-6289.6,-1257.92,-84381.25,0.19999991467302355
Geo 09,2024-02-19,-6625.99,-1325.2,-84381.25,0.19999991467302355
Geo 09,2024-02-26,-7092.32,-1418.46,-84381.25,0.19999991467302355
Geo 09,2024-03-04,-7114.19,-1422.84,-84381.25,0.19999991467302355
Geo 09,2024-03-11,-6470.77,-1294.15,-84381.25,0.19999991467302355
Geo 09,2024-03-18,-6792.15,-1358.43,-84381.25,0.19999991467302355
Geo 09,2024-03-25,-6765.1,-1353.02,-84381.25,0.19999991467302355
Geo 12,2024-02-05,-7640.02,-1528.0,-84381.25,0.19999991467302355
Geo 12,2024-02-12,-8056.4,-1611.28,-84381.25,0.19999991467302355
Geo 12,2024-02-19,-7940.76,-1588.15,-84381.25,0.19999991467302355
Geo 12,2024-02-26,-7794.62,-1558.92,-84381.25,0.19999991467302355
Geo 12,2024-03-04,-7627.86,-1525.57,-84381.25,0.19999991467302355
Geo 12,2024-03-11,-8200.72,-1640.15,-84381.25,0.19999991467302355
Geo 12,2024-03-18,-7933.61,-1586.72,-84381.25,0.19999991467302355
Geo 12,2024-03-25,-7857.7,-1571.54,-84381.25,0.19999991467302355
Geo 14,2024-02-05,-9347.77,-1869.55,-84381.25,0.19999991467302355
Geo 14,2024-02-12,-9164.48,-1832.9,-84381.25,0.19999991467302355
Geo 14,2024-02-19,-8897.93,-1779.59,-84381.25,0.19999991467302355
Geo 14,2024-02-26,-8926.46,-1785.29,-84381.25,0.19999991467302355
Geo 14,2024-03-04,-9067.68,-1813.54,-84381.25,0.19999991467302355
Geo 14,2024-03-11,-8888.45,-1777.69,-84381.25,0.19999991467302355
Geo 14,2024-03-18,-8967.71,-1793.54,-84381.25,0.19999991467302355
Geo 14,2024-03-25,-8696.3,-1739.26,-84381.25,0.19999991467302355
Geo 16,2024-02-05,-10500.58,-2100.12,-84381.25,0.19999991467302355
Geo 16,2024-02-12,-11041.32,-2208.26,-84381.25,0.19999991467302355
Geo 16,2024-02-19,-10858.41,-2171.68,-84381.25,0.19999991467302355
Geo 16,2024-02-26,-10692.51,-2138.5,-84381.25,0.19999991467302355
Geo 16,2024-03-04,-11007.84,-2201.57,-84381.25,0.19999991467302355
Geo 16,2024-03-11,-10869.16,-2173.83,-84381.25,0.19999991467302355
Geo 16,2024-03-18,-11530.68,-2306.14,-84381.25,0.19999991467302355
Geo 16,2024-03-25,-10984.21,-2196.84,-84381.25,0.19999991467302355
