geo,week,spend,revenue
Geo 01,2022-04-04,10226.23,81466.53
Geo 01,2022-04-11,10892.68,81861.71
Geo 01,2022-04-18,10456.53,81593.78
Geo 01,2022-04-25,9848.27,84367.04
Geo 01,2022-05-02,10270.71,83778.95
Geo 01,2022-05-09,10460.43,83525.09
Geo 01,2022-05-16,9709.46,84854.52
Geo 01,2022-05-23,9645.38,84188.0
Geo 01,2022-05-30,9383.84,81116.74
Geo 01,2022-06-06,9326.58,79087.98
Geo 01,2022-06-13,9340.27,78234.77
Geo 01,2022-06-20,9321.4,77509.41
Geo 01,2022-06-27,9359.66,77156.86
Geo 01,2022-07-04,8995.6,77445.9
Geo 01,2022-07-11,8765.62,77595.08
Geo 01,2022-07-18,9088.48,73497.6
Geo 01,2022-07-25,8863.27,75103.77
Geo 01,2022-08-01,9083.19,74448.06
Geo 01,2022-08-08,8928.68,74024.19
Geo 01,2022-08-15,8377.74,72152.69
Geo 01,2022-08-22,8335.5,71498.39
Geo 01,2022-08-29,8364.2,71847.78
Geo 01,2022-09-05,8848.86,71013.96
Geo 01,2022-09-12,8954.36,71781.36
Geo 01,2022-09-19,8747.12,70451.72
Geo 01,2022-09-26,8753.67,72112.25
Geo 01,2022-10-03,9063.98,72941.14
Geo 01,2022-10-10,9176.06,73743.7
Geo 01,2022-10-17,8639.33,76043.18
Geo 01,2022-10-24,9057.58,75191.51
Geo 01,2022-10-31,9104.91,75552.63
Geo 01,2022-11-07,9587.88,75507.35
Geo 01,2022-11-14,8829.37,76408.72
Geo 01,2022-11-21,10037.22,74236.73
Geo 01,2022-11-28,9440.75,77511.75
Geo 01,2022-12-05,10311.7,76882.41
Geo 01,2022-12-12,10623.57,76059.0
Geo 01,2022-12-19,10912.34,76253.44
Geo 01,2022-12-26,10769.81,76843.45
Geo 01,2023-01-02,10141.34,76386.04
Geo 01,2023-01-09,10660.46,80630.23
Geo 01,2023-01-16,10694.07,80966.97
Geo 01,2023-01-23,11546.86,81632.53
Geo 01,2023-01-30,11089.46,80556.92
Geo 01,2023-02-06,11544.88,79066.16
Geo 01,2023-02-13,11208.4,79982.29
Geo 01,2023-02-20,11676.7,81210.32
Geo 01,2023-02-27,11458.54,82925.76
Geo 01,2023-03-06,11399.32,84435.37
Geo 01,2023-03-13,11838.48,83425.14
Geo 01,2023-03-20,11039.59,83898.48
Geo 01,2023-03-27,11046.83,85667.15
Geo 01,2023-04-03,10760.07,85690.22
Geo 01,2023-04-10,10802.81,87400.89
Geo 01,2023-04-17,10703.38,87562.82
Geo 01,2023-04-24,10817.15,88705.13
Geo 01,2023-05-01,10869.82,87656.83
Geo 01,2023-05-08,10720.19,86242.43
Geo 01,2023-05-15,10505.5,85100.97
Geo 01,2023-05-22,10659.45,86669.28
Geo 01,2023-05-29,10649.18,86969.26
Geo 01,2023-06-05,10226.23,83764.26
Geo 01,2023-06-12,11031.21,85560.43
Geo 01,2023-06-19,10812.76,82060.58
Geo 01,2023-06-26,9931.58,82900.03
Geo 01,2023-07-03,10411.95,80835.08
Geo 01,2023-07-10,9790.51,82014.71
Geo 01,2023-07-17,9914.03,78365.62
Geo 01,2023-07-24,9485.42,75619.31
Geo 01,2023-07-31,9433.36,77094.01
Geo 01,2023-08-07,9387.88,75957.68
Geo 01,2023-08-14,9354.78,79382.51
Geo 01,2023-08-21,9797.18,76881.12
Geo 01,2023-08-28,9397.37,74204.32
Geo 01,2023-09-04,9319.05,75322.92
Geo 01,2023-09-11,9715.09,75439.69
Geo 01,2023-09-18,9261.81,76122.96
Geo 01,2023-09-25,10069.89,78636.62
Geo 01,2023-10-02,10114.63,76607.82
Geo 01,2023-10-09,9693.78,76728.89
Geo 01,2023-10-16,9651.81,76347.52
Geo 01,2023-10-23,9809.15,76332.1
Geo 01,2023-10-30,9526.67,78780.12
Geo 01,2023-11-06,9988.47,78304.94
Geo 01,2023-11-13,9668.56,78791.5
Geo 01,2023-11-20,10387.59,80271.28
Geo 01,2023-11-27,10058.52,83699.67
Geo 01,2023-12-04,10010.37,83815.01
Geo 01,2023-12-11,10461.18,81761.89
Geo 01,2023-12-18,10147.64,81865.67
Geo 01,2023-12-25,11141.74,83416.14
Geo 01,2024-01-01,10693.27,82701.45
Geo 01,2024-01-08,10974.14,83118.16
Geo 01,2024-01-15,10634.21,84077.2
Geo 01,2024-01-22,10991.88,85935.1
Geo 01,2024-01-29,11018.65,83344.17
Geo 01,2024-02-05,11754.42,82373.88
Geo 01,2024-02-12,11518.71,84434.56
Geo 01,2024-02-19,11665.89,85360.13
Geo 01,2024-02-26,11939.43,84586.97
Geo 01,2024-03-04,11854.14,84282.34
Geo 01,2024-03-11,11476.71,84607.69
Geo 01,2024-03-18,12063.5,88336.36
Geo 01,2024-03-25,12829.59,88440.44
Geo 02,2022-04-04,10130.02,83943.62
Geo 02,2022-04-11,10473.0,85788.28
